S.N.,Date,5m,10m,15m,Load1,Load2,Load3,Avg
1,2/19/2025,,,,4.5,4.6,4.9,4.7
2,2/20/2025,,,,4.5,4.6,4.9,4.7
3,2/21/2025,,,,4.9,2.3,3.9,3.7
4,2/22/2025,,,,4.5,0.3,3.6,2.8
5,2/23/2025,,,,3.4,4.2,3.6,3.7
6,2/24/2025,,,,3.0,4.2,3.6,3.6
7,2/25/2025,-0.2,0,0.2,1.7,4.2,3.6,3.2
8,2/26/2025,-0.6,0,0.2,1.7,4.3,3.5,3.2
9,2/27/2025,-0.8,0.2,0.2,1.6,4.5,4.0,3.4
10,2/28/2025,-0.8,0.4,-1.3,2.0,4.5,2.2,2.9
11,3/1/2025,0.2,0.4,-0.2,2.5,6.0,3.0,3.8
12,3/1/2025,-0.5,0.4,0,2.1,8.0,2.3,4.1
13,3/2/2025,-0.8,0.4,0,1.8,8.1,3.0,4.3
14,3/2/2025,-0.8,0.4,0,1.5,9.0,2.5,4.3
15,3/3/2025,-0.8,0.4,0,2.5,8.0,2.5,4.3
16,3/3/2025,-0.4,0.4,0,2.5,8.0,2.5,4.3
17,3/4/2025,-0.4,0.4,-1.3,2.1,8.0,2.5,4.2
18,3/4/2025,-0.4,0.4,-1.3,2.1,8.0,2.5,4.2
19,3/5/2025,-0.6,0,-2.2,1.5,6.5,2.2,3.4
20,3/5/2025,-0.5,0.1,-1.2,1.0,5.5,2.2,2.9
21,3/6/2025,-0.8,0.2,-0.9,-1.2,4.2,2.3,1.8
22,3/6/2025,-0.8,0.4,-1.2,-2.0,5.5,2.2,1.9
23,3/7/2025,-1,-0.2,-0.9,-14.1,-11.0,2.3,-7.6
24,3/7/2025,-1,-0.2,-0.9,-14.1,-11.0,2.3,-7.6
25,3/8/2025,-0.6,-0.2,-1.8,-13.9,-11.2,2.5,-7.5
26,3/8/2025,-0.6,-0.2,-1.8,-13.9,-11.2,2.5,-7.5
27,3/9/2025,-2.1,-0.6,-1.8,-13.9,-11.2,2.4,-7.6
28,3/9/2025,-2,-0.6,-1.9,-13.9,-11.1,2.4,-7.5
29,3/10/2025,-2.5,-0.6,-2,-13.9,-11.0,2.4,-7.5
30,3/10/2025,-2.5,-0.6,-2,-13.9,-11.0,2.4,-7.5
31,3/11/2025,-2.5,-0.6,-2.4,-13.9,-11.0,2.2,-7.6
32,3/11/2025,-2.5,-0.6,-2.4,-13.9,-11.0,2.2,-7.6
33,3/12/2025,-2.5,-0.6,-2.2,-13.9,-11.0,2.3,-7.5
34,3/12/2025,-2.5,-0.6,-2.2,-13.9,-11.0,2.3,-7.5
35,3/14/2025,-3.8,-0.6,-2.9,-13.9,-10.9,2.2,-7.5
36,3/14/2025,-3.8,-0.6,-2.9,-13.9,-10.9,2.2,-7.5
37,3/15/2025,-3.6,-0.8,-2.9,-14.0,-11.6,2.3,-7.8
38,3/15/2025,-3.7,-0.8,-3.1,-14.0,-11.6,2.3,-7.8
39,3/16/2025,-3.8,-0.8,-3.1,-13.9,-11.2,2.5,-7.5
40,3/16/2025,-3.8,-0.8,-3.1,-13.9,-11.6,2.5,-7.7
41,3/17/2025,-20.5,-3.2,0,-14.0,-11.1,2.4,-7.6
42,3/17/2025,-23.7,-3.2,0,-13.9,-11.2,2.3,-7.6
43,3/18/2025,-3.6,-156.8,-3.3,-13.9,-11.1,2.4,-7.5
44,3/18/2025,,,,,,,
45,3/20/2025,-3.1,-1.1,-2.7,-14,-11.2,2.5,-7.6
46,3/20/2025,,,,,,,
47,3/21/2025,-2.9,-1.1,-3.1,-14,-11,2.3,-7.6
48,3/22/2025,-2.5,-28.2,-3.3,-14,-11,2.3,-7.6
49,3/23/2025,-3.8,-1.1,-3.3,-14,-11.3,2.5,-7.6
50,3/24/2025,-4,-1066.9,-3.6,-13.9,-11.3,2.6,-7.5
51,3/25/2025,-6.3,-28.7,-5.6,-14,-11.3,2.5,-7.6
52,3/26/2025,-6.3,-0.2,-6.3,-14,-11.2,2.5,-7.6
53,3/27/2025,-6.5,0.2,-6.1,-14,-11.2,2.5,-7.6
54,3/28/2025,-6.5,-0.4,-6.5,-14.1,-11.3,2.5,-7.6
55,3/30/2025,-6.5,-0.2,-6.3,-14,-11.3,2.5,-7.6
56,3/31/2025,-6.8,-3.9,-7,-14,-11.1,2.4,-7.6
57,4/2/2025,-6.8,-0.2,-6.7,-14.1,-11.2,2.4,-7.6
58,4/10/2025,-7,-1.1,-6.3,-14,-11.1,2.3,-7.6
,5/5/2025,-6.8,-1.1,-7,-13.9,-11.2,2.4,-7.6
,5/6/2025,-7,-0.2,-6.3,-14.1,-11.3,2.3,-7.7
,5/7/2025,-7.1,-0.4,-6.5,-13.9,-11.1,2.5,-7.5
,5/12/2025,-7.1,-0.2,-6.5,-13.9,-11.1,2.5,-7.5
,5/13/2025,-7.1,-0.4,-6.8,-14.2,-11.2,2.4,-7.7
,5/18/2025,-7.2,-0.4,-7,-15.1,-11.3,2.5,-8.0
,5/19/2025,-7.2,-0.4,-7,-15.3,-11.3,2.6,-8.0
